Vintage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2003,0.922956534,0.850891802,0.73936568,1.035547959,0.937966592,0.969193102,0.995842527,1.178255353,1.065064716,0.97210603,1.012870204,1.074479599,0.954186427,0.954936422,1.066348431,1.075362895,1.141426996,1.135692488,1.062632588,1.010058939,0.950499084,0.926673352,0.838047299,0.692340875,0.657621762,0.699960411,0.73826172,0.706989761,0.695167614,0.684307852,0.728330959,0.736828245,0.756305327,0.735225129,0.588112839,0.551482563,0.566846526,0.526151264,0.510447283,0.468949801,0.459001537,0.450872486,0.450569081,0.41738921,0.376139254,0.358006471,0.279365795,0.275835225,0.260691064,0.238294207,0.201336452,0.161852438,0.146004896,0.125947599,0.120805012,0.113546565,0.092695827,0.088722885,0.083895409,0.077193856
2004,1.203160796,1.162380956,1.021236486,1.036548492,1.01486742,1.157105588,1.047237024,1.04725713,1.039130058,1.002966753,1.019489132,1.119829359,1.12589085,1.067294452,1.06922518,1.097609141,0.965850661,0.930293029,0.853967546,0.681794894,0.666779221,0.680026079,0.708973049,0.743251186,0.742041518,0.727687079,0.732953172,0.758977667,0.735890177,0.707174143,0.611509597,0.6034863,0.616316335,0.56539878,0.543196465,0.468621303,0.447301415,0.455257448,0.445667057,0.34966232,0.315668327,0.295662382,0.275501138,0.238332403,0.182778627,0.177457138,0.168952445,0.152774791,0.144771037,0.13428316,0.132785238,0.135767099,0.131793037,0.102542235,0.106388743,0.104727413,0.10486831,0.110828409,0.096751306,0.089584948
2005,0.830660019,0.865126333,0.933359595,0.919254672,0.914350865,0.942106521,0.942348954,0.956358714,0.979867126,0.997257388,1.008697903,1.053497442,1.042320766,1.040332425,0.971951278,0.833114857,0.774202161,0.828042417,0.88176614,0.904143402,0.878585701,0.881175148,0.886970089,0.89134511,0.901656359,0.88973435,0.820375956,0.801381873,0.834057338,0.750447439,0.700930553,0.652012671,0.631788523,0.579714615,0.561705622,0.547397273,0.515538767,0.488558514,0.434244943,0.427423133,0.386885173,0.359085258,0.33003063,0.288501695,0.274733806,0.249055795,0.219524913,0.127759031,0.106769401,0.095078494,0.078797307,0.063591635,0.057133083,0.054727845,0.054982479,0.047979112,0.040074471,0.03918721,0.033870167,0.033102911
2006,0.890357104,0.889303619,0.921038508,0.958990758,0.965571832,0.964847505,0.97810791,0.975726692,0.970213889,0.938592003,0.871633802,0.731234601,0.694997542,0.71844696,0.754802786,0.809812261,0.82625394,0.825521602,0.85843073,0.892028497,0.904226223,0.922528283,0.824458661,0.828706857,0.868517641,0.822419094,0.818347717,0.789599472,0.800364945,0.78400394,0.788994196,0.759479004,0.716567346,0.705374213,0.660920345,0.631029196,0.600818046,0.558567904,0.47745458,0.434949153,0.40859133,0.371867793,0.33541767,0.300395024,0.275576705,0.248629,0.245859343,0.237087883,0.200647155,0.184888612,0.162903045,0.131624714,0.129575527,0.125234347,0.111109287,0.102388247,0.066419257,0.062237927,0.051950671,0.052344519
2007,0.95421263,0.966996661,0.982230526,0.930923498,0.940332212,0.920379578,0.84656748,0.709053814,0.677712691,0.744968293,0.80362423,0.861490395,0.869540291,0.875119884,0.904220546,0.912586571,0.886305268,0.876191148,0.843574024,0.845201768,0.848031892,0.796613563,0.787222119,0.751418618,0.749245017,0.740128223,0.760124335,0.759727857,0.747506625,0.717077952,0.677072233,0.62129365,0.539015796,0.520108681,0.479025486,0.448347182,0.418222597,0.368779979,0.34564476,0.313352217,0.314532763,0.295081977,0.293714193,0.255190956,0.228709539,0.216572382,0.206560926,0.187519495,0.170594767,0.1543145,0.142853464,0.138189936,0.118570019,0.120743657,0.129762921,0.138958337,0.124604544,0.120644978,0.076362848,
2008,0.952690727,0.918330885,0.903142626,0.781406304,0.734309638,0.800178932,0.872355027,0.926484334,0.924952583,0.888343282,0.923965963,0.964362118,0.951462627,0.963753933,0.897803782,0.921442874,0.9561521,0.904531138,0.912041527,0.922275501,0.935453371,0.936965679,0.967825368,0.917846683,0.895049847,0.913793608,0.863451574,0.799576552,0.788605824,0.78845307,0.710792654,0.657494621,0.669075301,0.623938625,0.62947617,0.622435107,0.611496969,0.528921436,0.512934948,0.471720511,0.438427612,0.402966881,0.393369998,0.323079405,0.319215422,0.288033225,0.256710316,0.264134973,0.208791809,0.186045011,0.185440613,0.195503615,0.175867242,0.161186469,0.143147727,0.09856722,0.07912582,0.067177906,0.062851744,0.059819451
2009,0.969154275,1.048123107,1.100205934,1.139067614,1.138185384,1.138869841,1.147586173,1.151996838,1.159429214,1.104493496,1.131562219,1.185159141,1.177913156,1.189807226,1.090353942,1.056829141,1.065234472,1.06374751,1.026572256,1.003159135,0.988004257,0.986006645,0.98301054,0.961929825,0.917247159,0.863282329,0.820705723,0.785212495,0.844842089,0.893598575,0.822162324,0.834101381,0.769544784,0.711888014,0.622238132,0.554517117,0.545858364,0.525380597,0.48135752,0.411764786,0.397590512,0.377405429,0.397755049,0.397604877,0.443370792,0.368759145,0.360514025,0.352386826,0.336452662,0.281666718,0.218700609,0.20463776,0.133148208,0.134250245,0.132908984,0.119276218,0.120458764,0.132866567,0.114692305,
2010,0.899914124,0.957907626,0.949627217,0.969168564,0.976964873,0.988741174,1.028730304,1.030173655,1.060595712,1.01701512,0.97136041,1.022833541,1.02612157,1.028163481,1.080759791,1.134637353,1.136536216,1.138415143,1.087513816,1.070649459,1.065582634,1.047663889,0.997046331,0.943103143,0.942811621,0.917734082,0.890088197,0.867121264,0.848765026,0.787857197,0.792200689,0.732100665,0.709080458,0.700337756,0.690109565,0.687226301,0.666642855,0.694199462,0.563019297,0.486818501,0.449634567,0.612254901,0.641496598,0.59079015,0.613722819,0.699928266,0.632010975,0.588074943,0.590064203,0.459608848,0.417116352,0.361086075,0.337689579,0.309228709,0.296573191,0.290771514,0.277883614,0.269548108,0.264134135,0.265395948
2011,0.813560496,0.877542993,0.895464506,0.912460196,0.937198541,0.96193332,0.971133587,0.971873027,0.998494342,0.995365006,1.021872068,1.041459708,1.041835721,1.085078871,1.025966081,1.009491119,0.99521198,0.967841148,0.937591911,0.904366037,0.882058674,0.884350529,0.908735299,0.879036526,0.89201941,0.942356074,0.931052165,0.886616945,0.881539602,0.847875608,0.824031253,0.72834316,0.712569475,0.663973174,0.615935841,0.616521921,0.497385985,0.55599373,0.579834807,0.521135881,0.560330302,0.545533798,0.528224551,0.427444647,0.384029548,0.347709148,0.313160733,0.304567927,0.28484396,0.276077075,0.252129139,0.239112794,0.197782474,0.190786782,0.182692534,0.172904605,0.160572062,0.159412544,0.145878201,0.131387905
2012,0.997612444,0.958742546,1.001484163,1.003078856,1.000478333,0.993685017,1.009351711,1.081221879,1.0708041,1.108621533,1.072625812,1.086098914,1.088540909,1.112489045,1.090365586,1.10494611,1.100666529,1.075777588,1.079739089,1.047276349,1.015531302,1.006319481,0.984847997,0.921244276,0.946361405,0.913704206,0.888731002,0.813862324,0.825861795,0.743851215,0.679275886,0.688171471,0.570818238,0.620642621,0.636659443,0.659012822,0.854406051,0.943076313,0.85903824,0.7444101,0.625631551,0.502822872,0.495044071,0.450297617,0.43613398,0.437169356,0.433868422,0.426302595,0.382906852,0.363647946,0.351871088,0.362574001,0.30899459,0.324484868,0.3811471,0.370874543,,,,
