Gross Multiple,TVPI
3.13281562,2.339478869
3.135840654,2.949534294
3.136318197,2.979852363
3.146294412,2.515960838
3.153800458,2.436796391
3.164452395,2.366611257
3.167254908,2.547515586
3.170365738,2.637924319
3.174214752,2.910529221
3.17827595,2.7477408
3.182098083,2.588231146
3.183696889,2.164652005
3.184464791,2.775767292
3.190903267,2.626084283
3.198478412,2.447723246
3.246096745,2.552007778
3.254458972,2.183242711
3.260928618,2.351721325
3.263033331,2.629953417
3.263756086,2.650181196
3.270631715,2.263210215
3.315085322,2.699010313
3.332194638,2.780627451
3.355230313,2.600485337
3.358903258,2.644500197
3.367942439,2.605810115
3.454645158,3.33243317
3.455783318,2.808166816
3.46516506,2.575867083
3.472117025,2.784075231
3.480735325,2.742979465
3.486874315,2.80713115
3.504418248,3.379764261
3.505860348,2.373868377
3.52655418,2.966093943
3.540729561,3.066685549
3.548482104,3.29320492
3.559135705,2.754614
3.579109771,3.196986781
3.600660046,2.968647444
3.624087627,3.118180385
3.65695905,2.909830242
3.66675675,2.732835276
3.667720961,2.575612252
3.676332917,2.8126529
3.691818769,2.542940312
3.707870998,3.004800591
3.710036412,2.926203337
3.710879958,2.434724592
3.726896167,2.844132969
3.739509397,3.351252264
3.75175997,3.349029495
3.754189532,2.660321167
3.754513788,2.520208905
3.756615262,2.276756861
3.756725303,3.060238844
3.75831092,2.938366892
3.759503869,3.008039244
3.779945676,2.745524296
3.800118742,3.057254333
3.848550045,3.246453743
3.857964164,2.852178441
3.858725515,3.105669765
3.879216343,3.188589681
3.918711874,2.84983967
3.930793738,2.735428292
3.936886259,2.800423271
3.969938979,3.110772476
3.977478018,2.993909845
3.988073266,3.059672173
4.011123273,3.233811751
4.023303739,2.750717596
4.034382763,3.299995833
4.037489226,2.952457527
4.055881161,3.066923491
4.123033574,3.076929474
4.124659186,4.003049075
4.180538551,3.239859396
4.204785104,3.082103495
4.294584406,3.074273053
4.415873109,2.189378428
4.4207336,4.121512821
4.427915051,3.346419909
4.444445962,3.985839666
4.461065918,3.16645891
4.48473716,3.565989664
4.512907967,3.362614194
4.597241424,3.745074255
4.62017732,3.631278266
4.643131523,3.768156052
4.65298283,4.014864159
4.681837918,3.11097035
4.683318265,3.513718835
4.802799804,3.559016547
4.812743026,4.159323724
5.043228456,4.009550883
5.057680892,3.703879836
5.123063834,3.540961088
5.188823415,4.103112908
5.293230715,4.02193757
5.388821272,4.402246474
5.731363182,4.879783686
5.96372396,5.245969495
6.71363097,4.828401621
7.144309166,4.719038068
7.196406025,5.683684437
7.367611897,5.441067917
7.786404517,6.330234396
7.814065599,7.18881625
7.99847503,5.557146889
8.394679043,8.02583627
8.884333143,6.522640773
9.908847626,6.777842806
10.13550186,7.477362695
10.23684207,8.184959168
